Year,Under five mortality rate,Infant mortality rate,Neonatal mortality rate,Above five mortality rate
1990,93.4,64.8,36.8,0
1991,92.1,63.9,36.3,0
1992,90.9,63.1,35.9,0
1993,89.7,62.3,35.4,0
1994,88.7,61.4,,0
1995,87.3,60.5,34.4,0
1996,85.6,59.4,33.7,0
1997,,58.2,33.1,0
1998,82.1,56.9,32.3,0
1999,79.9,55.4,31.5,0
2000,77.5,53.9,30.7,0
2001,74.8,52.1,29.8,0
2002,72,,28.9,0
2003,69.2,48.6,28,0
2004,66.7,46.9,,0
2005,,45.1,26.1,0
2006,61.1,43.4,25.3,0
2007,58.5,,24.4,0
2008,56.2,40.3,23.6,0
2009,53.7,38.8,22.9,0
2010,,37.4,22.2,0
2011,49.3,36,21.5,0
2012,47.3,34.7,20.8,0
2013,45.5,33.6,20.2,0
2014,43.7,,19.6,0
2015,42.2,31.4,19.1,0
2016,40.8,30.5,18.6,0
